City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Aripuanã,-9.1667,-60.6333,85.6,59,70,1.92,BR,1610455845
Jamestown,42.097,-79.2353,27.0,80,90,6.91,US,1610455581
Bluff,-46.6,168.3333,52.0,84,16,1.01,NZ,1610455847
Narsaq,60.9167,-46.05,42.8,33,75,20.71,GL,1610455848
Hong Kong,22.2855,114.1577,55.99,30,37,11.16,HK,1610455586
Thompson,55.7435,-97.8558,12.2,92,90,4.88,CA,1610455849
Punta Arenas,-53.15,-70.9167,46.4,66,0,32.21,CL,1610455765
Bac Lieu,9.285,105.7244,74.77,76,0,11.81,VN,1610455850
Hermanus,-34.4187,19.2345,73.99,80,81,8.99,ZA,1610455850
Lebu,-37.6167,-73.65,56.82,43,0,18.81,CL,1610455851
Pevek,69.7008,170.3133,-34.17,84,38,2.13,RU,1610455851
Mataura,-46.1927,168.8643,52.0,84,49,1.01,NZ,1610455852
Fortuna,40.5982,-124.1573,55.99,87,90,20.71,US,1610455853
Rancagua,-34.1708,-70.7444,60.8,51,0,4.05,CL,1610455853
Port Elizabeth,-33.918,25.5701,71.6,88,90,13.8,ZA,1610455854
Cherskiy,68.75,161.3,-33.83,82,0,0.98,RU,1610455854
Atuona,-9.8,-139.0333,76.73,81,4,14.56,PF,1610455855
Saiha,22.4833,92.9667,60.17,59,0,1.88,IN,1610455681
Havelock,34.8791,-76.9013,46.0,100,90,8.05,US,1610455583
Aloleng,16.1307,119.7824,75.74,79,55,17.58,PH,1610455858
Busselton,-33.65,115.3333,61.0,73,0,1.99,AU,1610455858
Mabaruma,8.2,-59.7833,77.86,87,1,5.93,GY,1610455859
Provideniya,64.3833,-173.3,-9.85,83,97,10.69,RU,1610455860
Puerto Ayora,-0.7393,-90.3518,73.99,94,73,9.06,EC,1610455860
Koumac,-20.5667,164.2833,81.05,83,82,3.67,NC,1610455861
Chui,-33.6971,-53.4616,70.18,56,94,14.72,UY,1610455862
Forsytheganj,52.6333,29.7333,28.0,95,0,11.72,BY,1610455863
Qaanaaq,77.484,-69.3632,11.5,83,99,4.14,GL,1610455864
Gubkinskiy,64.434,76.5026,-7.8,91,100,10.02,RU,1610455864
Osa,57.2829,55.4567,-5.01,90,100,8.05,RU,1610455865
Santiago del Estero,-27.7951,-64.2615,69.01,91,100,1.01,AR,1610455865
Alofi,-19.0595,-169.9187,75.2,100,100,2.3,NU,1610455821
Kapaa,22.0752,-159.319,69.8,88,75,8.05,US,1610455866
Mahanoro,-19.9,48.8,83.34,73,8,10.87,MG,1610455867
Nome,64.5011,-165.4064,12.2,79,75,9.22,US,1610455868
Rikitea,-23.1203,-134.9692,77.7,77,13,19.06,PF,1610455868
Cape Town,-33.9258,18.4232,84.2,48,0,18.41,ZA,1610455665
Butaritari,3.0707,172.7902,81.0,81,28,20.58,KI,1610455870
Ilave,-16.0833,-69.6667,52.09,60,86,1.43,PE,1610455871
Ushuaia,-54.8,-68.3,44.6,57,75,12.66,AR,1610455871
Hasaki,35.7333,140.8333,37.4,100,75,9.22,JP,1610455872
Caucayá,-0.1934,-74.7819,75.94,85,71,5.01,CO,1610455872
Vaini,-21.2,-175.2,78.8,94,75,5.75,TO,1610455873
Port Blair,11.6667,92.75,79.61,75,1,13.33,IN,1610455874
Port-Gentil,-0.7193,8.7815,87.8,70,40,13.8,GA,1610455874
Głogów,51.6636,16.0845,34.0,89,100,13.94,PL,1610455875
Constitución,-35.3333,-72.4167,62.19,36,0,3.04,CL,1610455876
Hobart,-42.8794,147.3294,57.99,67,75,4.61,AU,1610455687
Severo-Kuril'sk,50.6789,156.125,18.09,90,97,18.45,RU,1610455877
Wagar,16.1525,36.2032,90.32,19,98,3.04,SD,1610455877
Payo,-3.7508,103.6372,72.88,96,100,2.51,ID,1610455878
Caravelas,-17.7125,-39.2481,84.15,61,0,6.82,BR,1610455879
Choya,52.0108,86.5467,17.15,95,100,1.83,RU,1610455879
Codrington,-38.2667,141.9667,52.79,88,59,8.1,AU,1610455880
Talladega,33.4359,-86.1058,37.4,93,90,4.27,US,1610455881
Yangi Marg`ilon,40.4272,71.7189,39.2,48,100,1.28,UZ,1610455881
Hithadhoo,-0.6,73.0833,81.72,79,64,19.26,MV,1610455882
Nantucket,41.2835,-70.0995,35.6,80,90,5.75,US,1610455688
Broome,42.2506,-75.833,28.99,69,90,6.91,US,1610455883
Port Alfred,-33.5906,26.891,69.01,96,100,1.99,ZA,1610455884
Sur,22.5667,59.5289,70.43,47,0,13.4,OM,1610455884
Raudeberg,61.9875,5.1352,37.0,84,100,36.13,NO,1610455885
The Pas,53.8251,-101.2541,21.2,86,75,8.05,CA,1610455885
Ahipara,-35.1667,173.1667,61.56,90,6,4.29,NZ,1610455886
Lagoa,39.05,-27.9833,60.71,92,100,21.0,PT,1610455887
Inhambane,-23.865,35.3833,89.6,66,40,4.61,MZ,1610455862
Nouadhibou,20.931,-17.0347,68.0,49,0,21.85,MR,1610455888
Priargunsk,50.3691,119.1012,-8.18,90,100,1.72,RU,1610455888
Mildura,-34.2,142.15,75.2,25,0,3.98,AU,1610455889
Tyukalinsk,55.8732,72.1967,-10.73,87,100,15.41,RU,1610455889
Tambacounda,13.7539,-13.7586,87.8,13,0,11.5,SN,1610455890
Albany,42.6001,-73.9662,28.0,89,100,5.32,US,1610455781
Flinders,-34.5833,150.8552,70.0,89,30,1.99,AU,1610455666
Mangaratiba,-22.9597,-44.0406,87.8,62,0,10.36,BR,1610455608
Jishou,28.3167,109.7167,44.73,57,0,1.41,CN,1610455893
Nikolskoye,59.7035,30.7861,12.2,85,90,20.13,RU,1610455894
Wattegama,6.7989,81.4808,75.2,100,75,4.61,LK,1610455894
Petropavlovsk-Kamchatskiy,53.0452,158.6483,3.2,78,7,8.95,RU,1610455895
Auki,-8.7676,160.7034,76.59,91,100,7.4,SB,1610455895
Charters Towers,-20.1,146.2667,74.48,89,100,7.63,AU,1610455896
Tsimmerbude,54.675,20.1347,33.8,93,75,11.18,RU,1610455896
Pokosnoye,55.5258,101.0536,-17.0,87,100,4.43,RU,1610455897
Byron Bay,-28.65,153.6167,69.8,88,40,4.88,AU,1610455897
Bredasdorp,-34.5322,20.0403,69.8,83,90,17.27,ZA,1610455898
Umm Kaddadah,13.6017,26.6876,87.51,13,0,9.51,SD,1610455899
Leshukonskoye,64.8989,45.7622,-11.94,86,74,2.86,RU,1610455899
New Norfolk,-42.7826,147.0587,57.99,66,62,1.16,AU,1610455876
Houma,29.5958,-90.7195,36.0,87,90,12.66,US,1610455901
Bethel,41.3712,-73.414,24.01,86,1,3.06,US,1610455901
Bengkulu,-3.8004,102.2655,75.11,91,100,5.44,ID,1610455902
Mbuji-Mayi,-6.15,23.6,77.0,69,75,3.44,CD,1610455902
Prymors'k,46.7348,36.3443,33.28,90,100,18.86,UA,1610455903
Tuatapere,-46.1333,167.6833,52.0,84,1,1.01,NZ,1610455903
Esperance,-33.8667,121.9,64.4,77,40,12.66,AU,1610455904
Hay River,60.8156,-115.7999,32.0,74,3,6.91,CA,1610455904
Mīrābād,30.4362,61.8383,50.94,33,0,3.89,AF,1610455905
Bandarbeyla,9.4942,50.8122,75.99,67,23,25.57,SO,1610455906
Coahuayana Viejo,18.7333,-103.6833,67.59,48,6,3.91,MX,1610455907
Werda,-25.2667,23.2833,91.26,29,24,8.61,BW,1610455907
Sinop Province,41.7711,34.8709,55.4,100,75,8.05,TR,1610455775
Yerbogachën,61.2767,108.0108,-34.38,82,74,5.32,RU,1610455909
Nanortalik,60.1432,-45.2371,31.23,92,100,6.69,GL,1610455909
Souillac,-20.5167,57.5167,82.4,83,40,18.41,MU,1610455910
Aksu,41.1231,80.2644,15.69,79,0,4.5,CN,1610455910
Amahai,-3.3333,128.9167,84.99,84,93,1.61,ID,1610455911
Killam,52.7834,-111.8518,21.2,68,13,9.22,CA,1610455911
Paita,-5.0892,-81.1144,73.4,73,40,16.11,PE,1610455912
East London,-33.0153,27.9116,71.6,94,90,11.5,ZA,1610455912
Desaguadero,-16.5656,-69.0417,50.97,59,98,6.51,PE,1610455913
Verkhnevilyuysk,63.4453,120.3167,-42.25,80,91,1.88,RU,1610455914
Kathmandu,27.7167,85.3167,55.4,71,75,3.44,NP,1610455706
Sanary-sur-Mer,43.1178,5.8001,50.0,61,71,8.01,FR,1610455915
Carnarvon,-24.8667,113.6333,78.8,83,15,24.16,AU,1610455915
Longyearbyen,78.2186,15.6401,23.0,80,75,8.05,SJ,1610455837
Barrow,71.2906,-156.7887,-2.2,78,90,23.02,US,1610455916
Ossora,59.2353,163.0719,-9.58,78,1,4.76,RU,1610455918
Hobyo,5.3505,48.5268,78.76,65,0,23.17,SO,1610455919
Mossendjo,-2.9506,12.7261,76.93,82,100,3.49,CG,1610455919
Tiksi,71.6872,128.8694,-34.33,82,100,6.76,RU,1610455920
Labuhan,-6.8844,112.2051,80.58,83,100,10.36,ID,1610455920
Hilo,19.7297,-155.09,68.0,83,75,3.89,US,1610455921
Kaitangata,-46.2817,169.8464,53.58,96,10,1.43,NZ,1610455922
Port Lincoln,-34.7333,135.8667,61.77,77,100,10.51,AU,1610455922
Pinawa,50.1489,-95.8811,16.63,96,17,5.68,CA,1610455923
George Town,5.4112,100.3354,82.99,61,20,9.22,MY,1610455923
Ribeira Grande,38.5167,-28.7,62.6,94,75,21.85,PT,1610455924
Lexington,37.9887,-84.4777,24.01,93,90,10.36,US,1610455902
Itarema,-2.9248,-39.9167,84.06,64,78,11.65,BR,1610455926
Bambous Virieux,-20.3428,57.7575,82.99,83,40,18.41,MU,1610455927
Tianpeng,30.9866,103.9393,42.01,1,0,1.01,CN,1610455927
Tuktoyaktuk,69.4541,-133.0374,-1.89,92,100,14.18,CA,1610455928
Tasiilaq,65.6145,-37.6368,32.0,59,75,21.85,GL,1610455928
Togur,58.3631,82.8265,-24.7,85,0,4.79,RU,1610455929
Agar,23.7,76.0167,65.75,33,0,8.08,IN,1610455930
Vidim,56.4088,103.1106,-22.41,86,99,4.34,RU,1610455930
Luwuk,-0.9516,122.7875,79.74,76,42,1.77,ID,1610455931
Manavālakurichi,8.1333,77.3,78.8,100,75,2.3,IN,1610455931
Suntar,62.1444,117.6319,-36.78,82,90,3.0,RU,1610455932
Murray Bridge,-35.1167,139.2667,55.99,91,0,8.72,AU,1610455932
Allanridge,-27.7543,26.6438,81.45,43,96,7.92,ZA,1610455933
Kubrat,43.8,26.5,38.48,96,100,11.97,BG,1610455933
Upernavik,72.7868,-56.1549,20.1,96,100,7.38,GL,1610455934
Chokurdakh,70.6333,147.9167,-37.88,82,1,1.57,RU,1610455934
Mar del Plata,-38.0023,-57.5575,66.99,48,0,8.43,AR,1610455865
Bariloche,-41.1456,-71.3082,48.2,43,0,4.61,AR,1610455935
Mount Isa,-20.7333,139.5,87.8,45,96,4.61,AU,1610455936
Saint Paul Harbor,57.79,-152.4072,35.6,87,40,16.11,US,1610455937
Marathon,44.9,-89.7668,28.99,86,90,4.61,US,1610455937
Yenagoa,4.9247,6.2642,87.73,63,19,4.41,NG,1610455938
Teknāf,20.8624,92.3058,73.42,59,5,10.71,BD,1610455938
Dikson,73.5069,80.5464,16.92,98,100,10.65,RU,1610455939
Castro,-24.7911,-50.0119,72.43,85,96,3.89,BR,1610455939
Lindome,57.5667,12.0833,37.0,80,20,8.05,SE,1610455940
Berdigestyakh,62.0989,126.6992,-43.51,78,83,3.18,RU,1610455940
Cilegon,-6.0174,106.0538,78.8,83,40,9.22,ID,1610455941
Zeya,53.75,127.2667,-12.6,87,100,2.33,RU,1610455941
Pouébo,-20.4,164.5667,79.45,86,99,9.44,NC,1610455942
Saskylakh,71.9167,114.0833,-28.41,84,100,2.64,RU,1610455942
Lüderitz,-26.6481,15.1594,73.63,58,0,23.22,NA,1610455943
Baoshan,46.5586,131.4244,4.55,93,100,2.28,CN,1610455943
Zhanakorgan,43.9098,67.2495,29.01,99,100,4.21,KZ,1610455944
São João da Barra,-21.6403,-41.0511,84.2,54,0,16.11,BR,1610455945
Bundaberg,-24.85,152.35,75.0,78,90,9.22,AU,1610455945
Evanston,42.0411,-87.6901,28.99,80,1,6.91,US,1610455946
Henties Bay,-22.116,14.2845,67.75,76,42,11.95,NA,1610455946
Luau,-10.7073,22.2247,81.57,55,25,4.07,AO,1610455947
Avarua,-21.2078,-159.775,80.6,78,75,13.8,CK,1610455948
San Quintín,30.4833,-115.95,54.39,47,0,1.19,MX,1610455948
Carballo,43.213,-8.691,52.0,69,1,3.0,ES,1610455949
Yellowknife,62.456,-114.3525,15.8,92,90,2.3,CA,1610455949
Mount Gambier,-37.8333,140.7667,53.6,76,0,9.22,AU,1610455950
Jalu,29.0331,21.5482,82.51,16,100,12.97,LY,1610455951
Zabul Province,32.25,67.25,34.66,67,0,3.69,AF,1610455952
Camacha,33.0833,-16.3333,60.8,51,40,11.5,PT,1610455953
Torbay,47.6666,-52.7314,28.0,80,90,9.22,CA,1610455953
Sørland,67.667,12.6934,35.6,60,75,33.38,NO,1610455954
Ponta do Sol,32.6667,-17.1,60.8,48,75,10.36,PT,1610455954
Samarai,-10.6167,150.6667,83.7,80,100,11.56,PG,1610455955
Saint-Joseph,-21.3667,55.6167,78.8,94,75,9.22,RE,1610455955
Te Anau,-45.4167,167.7167,51.82,89,10,1.86,NZ,1610455956
Vao,-22.6667,167.4833,78.57,83,100,18.1,NC,1610455956
Katherine,-14.4667,132.2667,87.8,62,11,5.75,AU,1610455957
São Gabriel da Cachoeira,-0.1303,-67.0892,75.2,94,90,2.3,BR,1610455957
Usinsk,65.9939,57.5281,-9.76,90,10,5.97,RU,1610455958
Clyde River,70.4692,-68.5914,-5.8,84,90,1.48,CA,1610455959
Harper,4.375,-7.7169,82.09,77,49,8.86,LR,1610455959
São Filipe,14.8961,-24.4956,70.43,70,18,12.91,CV,1610455960
Lagunas,-5.2269,-75.6753,73.08,96,100,1.92,PE,1610455960
Leningradskiy,69.3833,178.4167,-23.39,81,88,16.17,RU,1610455961
Mehamn,71.0357,27.8492,17.6,73,0,17.27,NO,1610455961
Rūdbār,30.15,62.6,52.25,32,0,3.09,AF,1610455962
Machico,32.7,-16.7667,60.8,48,75,10.36,PT,1610455962
Hamilton,39.1834,-84.5333,25.0,80,90,8.05,US,1610455804
Pimentel,-6.8367,-79.9342,66.2,88,0,11.5,PE,1610455963
Taoudenni,22.6783,-3.9836,74.55,18,62,16.51,ML,1610455964
Bulakamba,-6.8748,108.9559,81.28,81,100,11.32,ID,1610455964
Llangefni,53.2556,-4.3106,43.0,81,75,8.05,GB,1610455965
Pudozh,61.8099,36.5345,-13.88,87,0,7.78,RU,1610455966
Geraldton,-28.7667,114.6,71.6,73,0,18.41,AU,1610455966
Avera,33.194,-82.5271,42.8,93,90,5.75,US,1610455967
Yima,34.7381,111.8839,40.01,53,0,7.9,CN,1610455967
Naze,28.3667,129.4833,49.6,70,13,10.71,JP,1610455968
Necochea,-38.5473,-58.7368,66.0,56,0,10.51,AR,1610455968
Arraial do Cabo,-22.9661,-42.0278,84.2,61,0,17.27,BR,1610455969
Quilmaná,-12.95,-76.3833,72.37,72,100,3.33,PE,1610455970
Bunia,1.5667,30.25,80.92,43,98,3.62,CD,1610455971
Suoyarvi,62.0833,32.35,-2.15,90,18,11.21,RU,1610455971
Iqaluit,63.7506,-68.5145,3.2,78,90,5.75,CA,1610455708
Januária,-15.4833,-44.3667,82.6,68,44,5.1,BR,1610455972
Airai,-8.9266,125.4092,63.32,100,100,1.99,TL,1610455973
Faanui,-16.4833,-151.75,80.82,78,100,20.83,PF,1610455973
Nyurba,63.2842,118.3319,-40.92,80,97,3.06,RU,1610455974
Borba,-4.3878,-59.5939,76.69,93,67,0.87,BR,1610455975
Bulawayo,-20.15,28.5833,78.6,65,32,10.27,ZW,1610455976
Izumo,35.3667,132.7667,35.6,87,75,8.05,JP,1610455976
Lakatoro,-16.0999,167.4164,82.36,78,100,1.25,VU,1610455977
Mocuba,-16.8392,36.9856,89.91,56,99,8.05,MZ,1610455978
Khatanga,71.9667,102.5,-21.69,88,100,4.81,RU,1610455978
Trzebiatów,54.0615,15.2648,33.01,10,100,6.73,PL,1610455979
Srednekolymsk,67.45,153.6833,-36.87,83,69,1.66,RU,1610455979
Ürümqi,43.801,87.6005,3.2,78,4,4.47,CN,1610455812
Coyhaique,-45.5752,-72.0662,48.2,71,75,2.3,CL,1610455981
Marau,-28.4492,-52.2,82.54,62,55,1.43,BR,1610455981
Igarka,67.4667,86.5833,-7.98,91,100,4.23,RU,1610455982
San Patricio,28.017,-97.5169,37.4,87,90,6.91,US,1610455982
Cayenne,4.9333,-52.3333,73.4,100,75,4.61,GF,1610455983
Merritt Island,28.5392,-80.672,64.4,88,40,4.61,US,1610455864
Omboué,-1.5746,9.2618,83.91,72,86,11.54,GA,1610455984
Mandalgovi,45.7625,106.2708,4.35,88,0,15.57,MN,1610455985
Cidreira,-30.1811,-50.2056,78.82,76,100,11.7,BR,1610455985
Batouri,4.4333,14.3667,102.06,9,0,2.71,CM,1610455986
Rio Grande,-32.035,-52.0986,75.2,83,75,13.8,BR,1610455986
Kungurtug,50.5994,97.5228,-5.57,86,83,0.47,RU,1610455987
Ulety,51.3572,112.4849,-5.69,80,93,12.1,RU,1610455987
São Félix do Xingu,-6.6447,-51.995,81.88,77,83,1.07,BR,1610455988
Puerto Escondido,15.85,-97.0667,72.73,54,0,5.28,MX,1610455988
Bridlington,54.0831,-0.1919,41.0,81,27,1.99,GB,1610455989
Chicama,-7.8447,-79.1469,71.42,77,56,4.27,PE,1610455990
Novoplatnirovskaya,46.1065,39.4191,35.19,85,100,12.91,RU,1610455990
Khovd,48.0056,91.6419,10.71,77,100,1.83,MN,1610455991
Cabo San Lucas,22.8909,-109.9124,55.4,82,1,6.89,MX,1610455991
Huilong,31.8111,121.655,46.0,39,0,10.02,CN,1610455992
Nichinan,31.6,131.3667,39.2,70,20,5.75,JP,1610455992
Kortkeros,61.8106,51.5806,-14.8,76,0,8.95,RU,1610455993
Nara,34.6851,135.8049,37.0,87,4,2.55,JP,1610455722
Salinópolis,-0.6136,-47.3561,82.92,75,21,9.35,BR,1610455804
Nyrob,60.733,56.7202,-6.88,86,100,3.44,RU,1610455995
Tazovsky,67.4667,78.7,3.2,94,100,13.04,RU,1610455996
Talara,-4.5772,-81.2719,73.4,73,40,16.11,PE,1610455996
Kattivākkam,13.2167,80.3167,80.6,83,75,9.22,IN,1610455997
Lorengau,-2.0226,147.2712,82.99,80,100,10.8,PG,1610455998
Kashgar,39.4547,75.9797,24.8,58,2,2.24,CN,1610455998
Sioux Lookout,50.1001,-91.917,21.2,100,90,8.05,CA,1610455999
Maceió,-9.6658,-35.7353,82.4,74,75,8.05,BR,1610455999
Sovetskiy,61.3614,63.5842,-17.36,87,0,3.67,RU,1610456000
Bud,39.447,-86.1758,25.0,93,90,9.22,US,1610456000
Klaksvík,62.2266,-6.589,35.6,69,75,16.11,FO,1610456001
Show Low,34.2542,-110.0298,18.0,62,1,3.44,US,1610456002
Carson City,39.1638,-119.7674,44.01,69,75,4.83,US,1610456002
Genhe,50.7833,121.5167,-6.34,89,100,2.21,CN,1610456003
León,21.1167,-101.6667,41.0,75,1,4.61,MX,1610455852
Mahébourg,-20.4081,57.7,82.4,83,40,18.41,MU,1610456004
Viedma,-40.8135,-62.9967,68.0,35,0,9.86,AR,1610456004
Rognan,67.0953,15.3878,28.4,54,40,27.63,NO,1610456005
Riyadh,24.6877,46.7219,66.2,19,0,8.05,SA,1610455876
Mandiana,10.6333,-8.6833,95.56,10,49,6.35,GN,1610456006
Puerto del Rosario,28.5004,-13.8627,66.2,55,20,10.36,ES,1610456006
Makakilo City,21.3469,-158.0858,73.4,73,75,3.44,US,1610456007
Apucarana,-23.5508,-51.4608,84.2,74,40,8.05,BR,1610456008
Dongkan,33.9997,119.8308,34.93,82,0,9.33,CN,1610456008
Kazachinskoye,57.6953,93.2761,-14.3,88,100,3.51,RU,1610456009
Salalah,17.0151,54.0924,84.2,10,0,16.11,OM,1610456009
Yakeshi,49.2833,120.7333,-3.6,92,100,2.01,CN,1610456010
Gisborne,-38.6533,178.0042,59.0,90,37,1.99,NZ,1610456010
St. George's,12.0564,-61.7485,78.8,73,40,19.57,GD,1610455914
Norman Wells,65.282,-126.8329,-13.0,77,1,3.44,CA,1610456011
Champerico,14.3,-91.9167,71.6,88,0,6.64,GT,1610456012
Brae,60.3964,-1.353,39.2,75,40,18.41,GB,1610456013
São Miguel do Araguaia,-13.275,-50.1628,80.06,85,98,5.17,BR,1610456013
Presidente Epitácio,-21.7633,-52.1156,86.67,62,100,6.42,BR,1610456014
Arua,3.0201,30.9111,85.35,28,57,10.58,UG,1610456014
Vostok,46.4856,135.8833,4.66,91,100,3.31,RU,1610456015
‘Āhuimanu,21.4447,-157.8378,73.4,83,75,8.05,US,1610456015
Yarkovo,57.4028,67.0786,-14.39,88,100,8.21,RU,1610456016
Kiryat Gat,31.61,34.7642,80.01,34,8,5.01,IL,1610456016
Aizkraukle,56.6048,25.2553,28.0,94,100,5.99,LV,1610456017
Karapyshi,49.6424,30.79,31.39,88,1,8.95,UA,1610456017
Doha,25.2867,51.5333,69.8,60,0,11.5,QA,1610455981
Whyalla,-33.0333,137.5833,68.0,68,0,10.36,AU,1610456019
Bykovo,55.6361,38.0803,15.8,92,75,4.47,RU,1610456019
Sacramento,38.4666,-121.3177,45.0,100,20,2.26,US,1610455412
Akola,20.7333,77.0,81.59,31,98,10.22,IN,1610456021
Lovozero,68.005,35.0117,0.37,90,1,8.5,RU,1610456021
Shahreza,32.0339,51.8794,45.86,47,0,1.88,IR,1610456022
Kaitong,44.8135,123.15,5.79,92,92,5.86,CN,1610456023
Tateyama,34.9833,139.8667,39.99,83,99,4.0,JP,1610456023
Saint George,37.1041,-113.5841,24.8,54,1,5.75,US,1610455958
Lavrentiya,65.5833,-171.0,-10.68,84,89,10.16,RU,1610456025
Kumul,42.8,93.45,18.66,80,0,4.43,CN,1610456025
Kavaratti,10.5669,72.642,82.65,76,100,7.58,IN,1610456026
Sri Aman,1.2376,111.4621,77.0,100,61,2.3,MY,1610456026
Vila Franca do Campo,37.7167,-25.4333,60.8,94,40,10.36,PT,1610455952
Zyryanka,65.75,150.85,-38.42,80,33,3.22,RU,1610456027
Half Moon Bay,37.4636,-122.4286,50.0,100,1,2.73,US,1610456028
Maniitsoq,65.4167,-52.9,19.85,93,100,8.1,GL,1610456029
Storforshei,66.4043,14.5233,23.0,58,40,16.11,NO,1610456029
Katsuura,35.1333,140.3,39.2,81,75,9.22,JP,1610456030
Sinnamary,5.3833,-52.95,79.5,83,3,12.5,GF,1610456030
Sept-Îles,50.2001,-66.3821,14.0,85,100,5.75,CA,1610455799
Manado,1.487,124.8455,77.0,94,40,2.3,ID,1610456032
Touros,-5.1989,-35.4608,82.4,69,75,11.5,BR,1610456033
San Luis,-33.295,-66.3356,68.61,33,1,7.58,AR,1610456033
Sheridan,44.8333,-106.9173,26.6,74,1,3.44,US,1610456034
Arlit,18.7369,7.3853,90.23,10,0,3.4,NE,1610456034
Talagang,32.9297,72.4158,52.2,37,0,4.36,PK,1610456035
Zaraza,9.3503,-65.3245,75.87,73,100,5.35,VE,1610456036
Pisco,-13.7,-76.2167,68.0,83,0,8.05,PE,1610456036
Dapaong,10.8639,0.205,96.46,9,0,9.4,TG,1610456037
Port Hardy,50.6996,-127.4199,46.4,87,90,9.22,CA,1610456037
Sungai Penuh,-2.0833,101.3833,66.07,96,100,1.61,ID,1610456038
Balkanabat,39.5108,54.3671,48.33,59,0,8.37,TM,1610456039
Ibanda,-2.7974,32.4746,77.99,64,17,6.58,TZ,1610456039
Ukiah,39.1502,-123.2078,48.0,93,90,2.95,US,1610455920
Terney,45.0503,136.6092,16.99,87,100,6.78,RU,1610456040
Iquitos,-3.7481,-73.2472,77.0,94,75,0.54,PE,1610456041
Verkhovazh'ye,60.7472,42.0465,-18.56,87,69,4.99,RU,1610456041
Kita,13.0349,-9.4895,96.69,9,0,6.62,ML,1610456042
Vágur,61.4732,-6.8119,38.21,76,92,13.67,FO,1610456042
Sisimiut,66.9395,-53.6735,16.0,91,99,3.47,GL,1610456043
Erzin,36.9559,36.2,68.0,49,17,1.74,TR,1610456043
Gamba,-2.65,10.0,82.38,77,100,12.21,GA,1610456044
Eyl,7.9803,49.8164,80.6,48,0,23.55,SO,1610456044
Mwinilunga,-11.7358,24.4293,74.68,79,97,5.03,ZM,1610456046
Taseyevo,57.2169,94.8978,-14.1,88,100,3.0,RU,1610456046
Ekhabi,53.5102,142.9671,-19.44,87,0,3.42,RU,1610456047
Zhezkazgan,47.8043,67.7144,7.86,94,100,12.64,KZ,1610456047
Dunedin,-45.8742,170.5036,60.01,90,2,5.01,NZ,1610456048
Acuitzio,20.345,-101.9771,42.93,72,24,1.79,MX,1610456048
Clyde,41.3042,-82.9752,26.01,89,13,1.01,US,1610456049
Lompoc,34.6391,-120.4579,52.0,93,1,9.22,US,1610456049
Vardø,70.3705,31.1107,12.2,79,20,17.27,NO,1610456050
Tigil',57.8,158.6667,3.54,85,100,3.69,RU,1610456051
Saldanha,-33.0117,17.9442,84.2,37,41,4.61,ZA,1610456051
Vila Velha,-20.3297,-40.2925,82.4,65,40,9.22,BR,1610456052
Lashio,22.9333,97.75,56.03,85,75,2.3,MM,1610456009
Emerald,-23.5333,148.1667,77.0,69,23,5.75,AU,1610456053
Hambantota,6.1241,81.1185,75.2,100,75,4.61,LK,1610456054
